sample,Somite Number,Condition
114h_rep1,7,114h
114h_rep2,9,114h
114h_rep3,8,114h
114h_rep4,8,114h
114h_rep5,8,114h
114h_rep6,8,114h
114h_rep7,9,114h
114h_rep8,9,114h
114h_rep9,8,114h
114h_rep10,8,114h
120h_rep1,12,120h
120h_rep2,11,120h
120h_rep3,9,120h
120h_rep4,10,120h
120h_rep5,11,120h
120h_rep6,11,120h
120h_rep7,11,120h
120h_rep8,11,120h
120h_TLS_rep1,9,120h - TLS
120h_TLS_rep2,12,120h - TLS
120h_TLS_rep3,11,120h - TLS
120h_TLS_rep4,10,120h - TLS
120h_TLS_rep5,13,120h - TLS
120h_TLS_rep6,11,120h - TLS
120h_TLS_rep7,12,120h - TLS
120h_TLS_rep8,14,120h - TLS
120h_TLS_rep9,11,120h - TLS
